statement_id,text,status,is_seed,agrees,disagrees,passes,created_at
1,中國對台軍事壓力正在快速升高，台灣必須在十年內明顯提升嚇阻能力。,approved,1,78,19,25,2026-08-31T16:45:21.632Z
2,以特別預算（舉債）方式支應大規模軍購，是可以接受的財政安排。,approved,1,56,53,10,2026-08-31T16:45:21.632Z
3,軍購應優先向美國採購成熟現貨裝備，縮短戰力形成時間。,approved,1,61,41,18,2026-08-31T16:45:21.632Z
4,與其大量外購，應把更多預算投入國造武器與本土國防產業。,approved,1,75,21,24,2026-08-31T16:45:21.632Z
5,不對稱作戰能力（機動飛彈、無人機、水雷）比大型載台（戰機、大型軍艦）更值得優先投資。,approved,1,69,25,25,2026-08-31T16:45:21.632Z
6,國防預算大幅擴張，會排擠社福、長照與教育支出，社會無法承受。,approved,1,50,52,19,2026-08-31T16:45:21.632Z
7,台灣的國防預算占 GDP 比例，應在 2030 年前達到 3% 以上。,approved,1,70,27,22,2026-08-31T16:45:21.632Z
8,重大軍購案的機密預算比例過高，立法院的實質監督不足。,approved,1,66,39,15,2026-08-31T16:45:21.632Z
9,應設立獨立的軍購審計與成本效益評估機制，逐案公開非機密版本報告。,approved,1,96,9,14,2026-08-31T16:45:21.632Z
10,提高志願役與後備軍人的待遇與訓練品質，比購買新裝備更迫切。,approved,1,77,25,18,2026-08-31T16:45:21.632Z
11,全民防衛韌性（民防訓練、關鍵基礎設施防護、戰備儲糧）應與軍購同步投資。,approved,1,100,5,14,2026-08-31T16:45:21.632Z
12,兩岸恢復制度化對話，比增加軍購更能降低戰爭風險。,approved,1,59,52,9,2026-08-31T16:45:21.632Z
13,增加軍購會刺激軍備競賽，反而讓台海更不安全。,approved,1,41,61,18,2026-08-31T16:45:21.632Z
14,美國對台軍售的價格與交付延宕問題嚴重，應建立更強的談判與求償機制。,approved,1,74,26,19,2026-08-31T16:45:21.632Z
15,國防這類高度專業的議題，不適合用公民投票決定。,approved,1,49,48,22,2026-08-31T16:45:21.632Z
16,新裝備交付動輒延宕多年，應先把預算用於提升現有裝備妥善率與彈藥儲備。,approved,1,78,22,19,2026-08-31T16:45:21.632Z
17,軍購特別預算應分期審查，每一期依執行績效決定是否續撥。,approved,1,81,23,16,2026-08-31T16:45:21.632Z
18,軍購是維繫台美互信的必要投資，台灣安全終究離不開美國的協防承諾。,approved,1,75,26,18,2026-08-31T16:45:21.632Z
19,比起軍事硬體，社會韌性與經濟實力才是台灣安全的根本。,approved,1,76,20,24,2026-08-31T16:45:21.632Z
20,彈藥、能源與糧食的戰備儲量，應優先於採購新的大型載台。,approved,1,68,21,32,2026-08-31T16:45:21.632Z
21,政府應先公開特別預算的具體採購清單與優先順序，再交付立法院審查。,approved,1,86,20,14,2026-08-31T16:45:21.632Z
22,役期與教召制度改革的成效，應納入整體國防投資的評估。,approved,1,82,14,24,2026-08-31T16:45:21.632Z
23,技術移轉與產業合作條款，應是每一筆對外軍購的必要條件。,approved,1,77,14,30,2026-08-31T16:45:21.632Z
24,在野黨在立法院刪減或凍結國防預算，是不負責任的做法。,approved,1,51,53,15,2026-08-31T16:45:21.632Z
25,自助而後人助,pending,0,0,0,0,2026-09-02T11:50:36.227Z
