participant,statement_id,vote,updated_at
p1,1,-1,2026-08-31T16:45:23.195Z
p1,2,1,2026-08-31T16:45:23.493Z
p1,3,1,2026-08-31T16:45:23.725Z
p1,4,0,2026-08-31T16:45:23.926Z
p1,5,1,2026-08-31T16:45:24.165Z
p1,6,-1,2026-08-31T16:45:24.411Z
p1,7,0,2026-08-31T16:45:24.680Z
p1,8,1,2026-08-31T16:45:24.925Z
p1,9,1,2026-08-31T16:45:25.172Z
p1,10,-1,2026-08-31T16:45:25.407Z
p1,11,1,2026-08-31T16:45:25.672Z
p1,12,-1,2026-08-31T16:45:25.939Z
p1,13,-1,2026-08-31T16:45:26.207Z
p1,14,1,2026-08-31T16:45:26.445Z
p1,15,1,2026-08-31T16:45:26.673Z
p1,16,1,2026-08-31T16:45:26.879Z
p1,17,-1,2026-08-31T16:45:27.108Z
p1,18,1,2026-08-31T16:45:27.341Z
p1,19,-1,2026-08-31T16:45:27.570Z
p1,20,1,2026-08-31T16:45:27.843Z
p1,21,-1,2026-08-31T16:45:28.121Z
p1,22,1,2026-08-31T16:45:28.315Z
p1,23,0,2026-08-31T16:45:28.486Z
p1,24,1,2026-08-31T16:45:28.644Z
p2,1,1,2026-08-31T16:45:23.218Z
p2,2,1,2026-08-31T16:45:23.489Z
p2,3,1,2026-08-31T16:45:23.726Z
p2,4,1,2026-08-31T16:45:23.926Z
p2,5,1,2026-08-31T16:45:24.164Z
p2,6,-1,2026-08-31T16:45:24.411Z
p2,7,1,2026-08-31T16:45:24.680Z
p2,8,1,2026-08-31T16:45:24.932Z
p2,9,1,2026-08-31T16:45:25.172Z
p2,10,-1,2026-08-31T16:45:25.407Z
p2,11,1,2026-08-31T16:45:25.640Z
p2,12,-1,2026-08-31T16:45:25.822Z
p2,13,1,2026-08-31T16:45:26.050Z
p2,14,1,2026-08-31T16:45:26.330Z
p2,15,-1,2026-08-31T16:45:26.562Z
p2,16,1,2026-08-31T16:45:26.817Z
p2,17,1,2026-08-31T16:45:27.026Z
p2,18,1,2026-08-31T16:45:27.292Z
p2,19,1,2026-08-31T16:45:27.570Z
p2,20,1,2026-08-31T16:45:27.811Z
p2,21,1,2026-08-31T16:45:28.034Z
p2,22,1,2026-08-31T16:45:28.262Z
p2,23,1,2026-08-31T16:45:28.487Z
p2,24,1,2026-08-31T16:45:28.678Z
p3,1,-1,2026-08-31T16:45:23.234Z
p3,2,1,2026-08-31T16:45:23.461Z
p3,3,-1,2026-08-31T16:45:23.729Z
p3,4,-1,2026-08-31T16:45:23.999Z
p3,5,1,2026-08-31T16:45:24.164Z
p3,6,-1,2026-08-31T16:45:24.438Z
p3,7,-1,2026-08-31T16:45:24.710Z
p3,8,-1,2026-08-31T16:45:24.963Z
p3,9,0,2026-08-31T16:45:25.222Z
p3,10,-1,2026-08-31T16:45:25.444Z
p3,11,1,2026-08-31T16:45:25.679Z
p3,12,-1,2026-08-31T16:45:25.911Z
p3,13,-1,2026-08-31T16:45:26.168Z
p3,14,0,2026-08-31T16:45:26.415Z
p3,15,1,2026-08-31T16:45:26.650Z
p3,16,-1,2026-08-31T16:45:26.906Z
p3,17,-1,2026-08-31T16:45:27.144Z
p3,18,1,2026-08-31T16:45:27.403Z
p3,19,1,2026-08-31T16:45:27.695Z
p3,20,-1,2026-08-31T16:45:28.001Z
p3,21,1,2026-08-31T16:45:28.289Z
p3,22,1,2026-08-31T16:45:28.517Z
p3,23,1,2026-08-31T16:45:28.769Z
p3,24,1,2026-08-31T16:45:29.010Z
p4,1,1,2026-08-31T16:45:23.242Z
p4,2,1,2026-08-31T16:45:23.460Z
p4,3,1,2026-08-31T16:45:23.697Z
p4,4,1,2026-08-31T16:45:23.957Z
p4,5,1,2026-08-31T16:45:24.195Z
p4,6,-1,2026-08-31T16:45:24.410Z
p4,7,1,2026-08-31T16:45:24.616Z
p4,8,-1,2026-08-31T16:45:24.821Z
p4,9,1,2026-08-31T16:45:25.054Z
p4,10,-1,2026-08-31T16:45:25.323Z
p4,11,1,2026-08-31T16:45:25.567Z
p4,12,1,2026-08-31T16:45:25.799Z
p4,13,-1,2026-08-31T16:45:26.032Z
p4,14,-1,2026-08-31T16:45:26.186Z
p4,15,0,2026-08-31T16:45:26.416Z
p4,16,1,2026-08-31T16:45:26.650Z
p4,17,-1,2026-08-31T16:45:26.910Z
p4,18,-1,2026-08-31T16:45:27.143Z
p4,19,-1,2026-08-31T16:45:27.372Z
p4,20,1,2026-08-31T16:45:27.625Z
p4,21,1,2026-08-31T16:45:27.854Z
p4,22,0,2026-08-31T16:45:28.080Z
p4,23,0,2026-08-31T16:45:28.313Z
p4,24,-1,2026-08-31T16:45:28.485Z
p5,1,1,2026-08-31T16:45:23.312Z
p5,2,1,2026-08-31T16:45:23.467Z
p5,3,1,2026-08-31T16:45:23.729Z
p5,4,-1,2026-08-31T16:45:23.998Z
p5,5,0,2026-08-31T16:45:24.164Z
p5,6,0,2026-08-31T16:45:24.410Z
p5,7,-1,2026-08-31T16:45:24.680Z
p5,8,0,2026-08-31T16:45:24.932Z
p5,9,1,2026-08-31T16:45:25.174Z
p5,10,0,2026-08-31T16:45:25.439Z
p5,11,1,2026-08-31T16:45:25.710Z
p5,12,-1,2026-08-31T16:45:25.967Z
p5,13,-1,2026-08-31T16:45:26.175Z
p5,14,-1,2026-08-31T16:45:26.416Z
p5,15,0,2026-08-31T16:45:26.705Z
p5,16,1,2026-08-31T16:45:26.965Z
p5,17,-1,2026-08-31T16:45:27.292Z
p5,18,1,2026-08-31T16:45:27.514Z
p5,19,0,2026-08-31T16:45:27.737Z
p5,20,1,2026-08-31T16:45:27.969Z
p5,21,-1,2026-08-31T16:45:28.202Z
p5,22,1,2026-08-31T16:45:28.476Z
p5,23,1,2026-08-31T16:45:28.753Z
p5,24,0,2026-08-31T16:45:29.011Z
p6,1,1,2026-08-31T16:45:23.313Z
p6,2,1,2026-08-31T16:45:23.478Z
p6,3,1,2026-08-31T16:45:23.697Z
p6,4,0,2026-08-31T16:45:23.926Z
p6,5,0,2026-08-31T16:45:24.196Z
p6,6,0,2026-08-31T16:45:24.409Z
p6,7,1,2026-08-31T16:45:24.597Z
p6,8,1,2026-08-31T16:45:24.849Z
p6,9,1,2026-08-31T16:45:25.079Z
p6,10,1,2026-08-31T16:45:25.327Z
p6,11,1,2026-08-31T16:45:25.599Z
p6,12,-1,2026-08-31T16:45:25.822Z
p6,13,-1,2026-08-31T16:45:26.051Z
p6,14,1,2026-08-31T16:45:26.299Z
p6,15,1,2026-08-31T16:45:26.539Z
p6,16,1,2026-08-31T16:45:26.767Z
p6,17,1,2026-08-31T16:45:26.997Z
p6,18,1,2026-08-31T16:45:27.225Z
p6,19,1,2026-08-31T16:45:27.459Z
p6,20,0,2026-08-31T16:45:27.726Z
p6,21,1,2026-08-31T16:45:28.067Z
p6,22,1,2026-08-31T16:45:28.314Z
p6,23,0,2026-08-31T16:45:28.517Z
p6,24,1,2026-08-31T16:45:28.767Z
p7,1,1,2026-08-31T16:45:23.313Z
p7,2,1,2026-08-31T16:45:23.585Z
p7,3,1,2026-08-31T16:45:23.814Z
p7,4,0,2026-08-31T16:45:24.052Z
p7,5,1,2026-08-31T16:45:24.294Z
p7,6,-1,2026-08-31T16:45:24.558Z
p7,7,1,2026-08-31T16:45:24.810Z
p7,8,0,2026-08-31T16:45:25.053Z
p7,9,1,2026-08-31T16:45:25.296Z
p7,10,0,2026-08-31T16:45:25.524Z
p7,11,1,2026-08-31T16:45:25.787Z
p7,12,-1,2026-08-31T16:45:26.051Z
p7,13,-1,2026-08-31T16:45:26.325Z
p7,14,-1,2026-08-31T16:45:26.595Z
p7,15,1,2026-08-31T16:45:26.817Z
p7,16,1,2026-08-31T16:45:27.026Z
p7,17,1,2026-08-31T16:45:27.260Z
p7,18,1,2026-08-31T16:45:27.482Z
p7,19,1,2026-08-31T16:45:27.694Z
p7,20,0,2026-08-31T16:45:27.923Z
p7,21,1,2026-08-31T16:45:28.145Z
p7,22,0,2026-08-31T16:45:28.374Z
p7,23,1,2026-08-31T16:45:28.643Z
p7,24,1,2026-08-31T16:45:28.882Z
p8,1,1,2026-08-31T16:45:23.344Z
p8,2,1,2026-08-31T16:45:23.610Z
p8,3,1,2026-08-31T16:45:23.883Z
p8,4,0,2026-08-31T16:45:24.147Z
p8,5,0,2026-08-31T16:45:24.411Z
p8,6,-1,2026-08-31T16:45:24.678Z
p8,7,1,2026-08-31T16:45:24.957Z
p8,8,-1,2026-08-31T16:45:25.223Z
p8,9,1,2026-08-31T16:45:25.445Z
p8,10,0,2026-08-31T16:45:25.678Z
p8,11,1,2026-08-31T16:45:25.910Z
