participant,statement_id,vote,updated_at
p1,1,-1,2026-09-01T04:18:09.855Z
p1,2,1,2026-09-01T04:18:10.015Z
p1,3,-1,2026-09-01T04:18:10.184Z
p1,4,-1,2026-09-01T04:18:10.346Z
p1,5,1,2026-09-01T04:18:10.495Z
p1,6,-1,2026-09-01T04:18:10.621Z
p1,7,1,2026-09-01T04:18:10.777Z
p1,8,0,2026-09-01T04:18:10.934Z
p1,9,1,2026-09-01T04:18:11.063Z
p1,10,0,2026-09-01T04:18:11.192Z
p1,11,1,2026-09-01T04:18:11.318Z
p1,12,-1,2026-09-01T04:18:11.417Z
p1,13,-1,2026-09-01T04:18:11.566Z
p1,14,0,2026-09-01T04:18:11.733Z
p1,15,-1,2026-09-01T04:18:11.892Z
p1,16,0,2026-09-01T04:18:12.080Z
p1,17,-1,2026-09-01T04:18:12.270Z
p1,18,-1,2026-09-01T04:18:12.438Z
p1,19,0,2026-09-01T04:18:12.561Z
p1,20,1,2026-09-01T04:18:12.689Z
p1,21,-1,2026-09-01T04:18:12.846Z
p1,22,1,2026-09-01T04:18:13.011Z
p1,23,-1,2026-09-01T04:18:13.131Z
p1,24,1,2026-09-01T04:18:13.276Z
p2,1,-1,2026-09-01T04:18:09.860Z
p2,2,1,2026-09-01T04:18:09.995Z
p2,3,1,2026-09-01T04:18:10.122Z
p2,4,1,2026-09-01T04:18:10.252Z
p2,5,1,2026-09-01T04:18:10.374Z
p2,6,0,2026-09-01T04:18:10.527Z
p2,7,1,2026-09-01T04:18:10.681Z
p2,8,-1,2026-09-01T04:18:10.838Z
p2,9,1,2026-09-01T04:18:11.031Z
p2,10,-1,2026-09-01T04:18:11.223Z
p2,11,1,2026-09-01T04:18:11.414Z
p2,12,-1,2026-09-01T04:18:11.553Z
p2,13,-1,2026-09-01T04:18:11.707Z
p2,14,-1,2026-09-01T04:18:11.861Z
p2,15,0,2026-09-01T04:18:11.984Z
p2,16,1,2026-09-01T04:18:12.115Z
p2,17,-1,2026-09-01T04:18:12.242Z
p2,18,1,2026-09-01T04:18:12.372Z
p2,19,0,2026-09-01T04:18:12.498Z
p2,20,-1,2026-09-01T04:18:12.628Z
p2,21,-1,2026-09-01T04:18:12.784Z
p2,22,-1,2026-09-01T04:18:12.919Z
p2,23,1,2026-09-01T04:18:13.063Z
p2,24,1,2026-09-01T04:18:13.227Z
p3,1,1,2026-09-01T04:18:09.916Z
p3,2,1,2026-09-01T04:18:10.090Z
p3,3,1,2026-09-01T04:18:10.311Z
p3,4,1,2026-09-01T04:18:10.473Z
p3,5,1,2026-09-01T04:18:10.621Z
p3,6,-1,2026-09-01T04:18:10.793Z
p3,7,1,2026-09-01T04:18:10.963Z
